Comment,Designator,Footprint,LCSC
10u,C19,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C408142
100n,"C3,C18,C20",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C77082
47n,"C4,C5,C6,C7",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C77063
1u,"C8,C9,C10,C11,C12",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C77083
100K,"R1,R2,R3,R4",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C3152173
330,R10,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C844839
100k,"R11,R12,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C3152173
470k,"R13,R14,R15,R16",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C168502
22k,"R17,R18,R21,R22",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114565
47k,"R19,R20,R26,R27",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C212464
10k,R43,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C2907219
470,"R7,R9",Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C163998
240,R8,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C352239
