Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,100n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.624000,-50.800000,-90.000000,top
C4,10n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.300000,-53.800000,90.000000,top
C5,10n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.400000,-53.700000,90.000000,top
C6,10n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.800000,-53.800000,-90.000000,top
C7,10n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,115.900000,-53.700000,-90.000000,top
C8,1u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.000000,-77.500000,0.000000,top
C9,1u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.000000,-79.900000,0.000000,top
C10,1u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.000000,-83.700000,0.000000,top
C11,1u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.000000,-87.500000,0.000000,top
C12,1u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,42.000000,-90.100000,0.000000,top
C15,100u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,64.520000,-83.074000,90.000000,top
C16,68u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.050000,-78.350000,-90.000000,top
C17,68u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.300000,-89.100000,90.000000,top
C18,100n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,62.270000,-83.074000,90.000000,top
C19,10u,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,60.020000,-83.074000,-90.000000,top
C20,100n,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.750000,-85.090000,90.000000,top
L1,L_Coupled_1243 22n,L_Wuerth_WE-DD-Typ-M-Typ-S,141.986000,-110.998000,0.000000,top
R1,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,97.108000,-122.663000,180.000000,top
R2,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,102.058000,-122.663000,0.000000,top
R3,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.513000,-122.663000,180.000000,top
R4,100K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,118.513000,-122.663000,0.000000,top
R7,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.500000,-53.650000,90.000000,top
R8,240,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.624000,-45.974000,90.000000,top
R9,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,38.450000,-59.750000,-90.000000,top
R10,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,166.624000,-56.642000,90.000000,top
R11,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,124.550000,-46.482000,0.000000,top
R12,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,108.650000,-46.482000,0.000000,top
R13,470k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,129.300000,-53.800000,90.000000,top
R14,470k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.800000,-53.800000,90.000000,top
R15,470k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,113.400000,-53.700000,90.000000,top
R16,470k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.900000,-53.700000,90.000000,top
R17,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.600000,-77.400000,0.000000,top
R18,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.600000,-79.900000,0.000000,top
R19,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.600000,-82.400000,0.000000,top
R20,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.600000,-84.900000,0.000000,top
R21,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.600000,-87.500000,0.000000,top
R22,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.600000,-90.100000,0.000000,top
R26,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56.600000,-77.600000,0.000000,top
R27,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,56.600000,-90.100000,0.000000,top
R28,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,111.064000,-65.278000,-90.000000,top
R29,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,155.448000,-39.624000,180.000000,top
